ID,desc
1,Tropical and subtropical moist broadleaf forest
2,Tropical and subtropical dry broadleaf forest
3,Tropical and subtropical coniferous forest
4,Temperate broadleaf and mixed forests
5,Temperate conifer forests
6,Boreal forests
7,"Tropical and subtropical grasslands, savannas and shrublands"
8,"Temperate grasslands, savannas and shrublands"
9,Flooded grasslands and savannas
10,Montane grasslands and shrublands
11,Tundra
12,"Mediterranean forests, woodland and scrub"
13,Deserts and xeric shrublands
14,Mangroves
