SIZE_HA,RS_HA,cv,sd,ratio
0.04,0.5,48.7,24.703075,0.08
0.04,1,50.2,25.46395,0.04
0.04,2,51.4,26.07265,0.02
0.04,4,52.6,26.68135,0.01
0.1,0.5,28.9,9.1902,0.2
0.1,1,31.1,9.8898,0.1
0.1,2,32.8,10.4304,0.05
0.1,4,34.4,10.9392,0.025
0.25,0.5,14.7,2.81505,0.5
0.25,1,18.3,3.50445,0.25
0.25,2,20.7,3.96405,0.125
0.25,4,22.9,4.38535,0.0625
0.5,0.5,6.6,0.7887,1
0.5,1,10.8,1.2906,0.5
0.5,2,13.8,1.6491,0.25
0.5,4,16.6,1.9837,0.125
1,1,4.6,0.369533333,1
1,2,8,0.642666667,0.5
1,4,11.5,0.923833333,0.25
2,2,3.3,0.1617,1
2,4,6.5,0.3185,0.5
4,4,2.4,0.0576,1
